id,warehouse_id,sort_id,english,taxon,order,family,description,HR,DE,PL,ES,aquatic,river,tree,underground,forest,shrubs,alpine,prairies,farmlands,xxxs,xxs,xs,s,m,l,xl,xxl,grouping,photoAttribution
1,440884,1,Algerian hedgehog,Atelerix algirus,Ericnaceomorpha,Erinaceidae,"Relatively small with a white face, brown legs and a white or brown underbelly, highly visible, large ears and lack of spines on the crown of the head",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,hedgehog,
2,440889,2,Western hedgehog,Erinaceus europaeus ,Ericnaceomorpha,Erinaceidae,Largest species of hedgehog and mostly brown in colour,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,hedgehog,
3,440887,3,Eastern hedgehog,Erinaceus concolor ,Ericnaceomorpha,Erinaceidae,Similar to Western hedgehog but identifiable by a white spot on its chest,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,hedgehog,
4,440903,4,European rabbit,Oryctolagus cuniculus,Lagomorpha ,Leporiadae,"Relatively small with grey-brown coat, a brown chest patch and white-grey underbelly, lacks black ear-tips and has proportionately shorter legs",1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,lagomorph,
5,440894,5,Broom hare,Lepus castroviejoi,Lagomorpha ,Leporiadae,"Brown and black back and white underbelly, black tail with white underside, brown-gray ears usually with black tips",0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,lagomorph,Françoise Mougeot (c)
6,440896,6,Brown hare,Lepus europaeus,Lagomorpha ,Leporiadae,"Golden-brown back and a pale belly, white tail, relatively longer legs and ears with distinctive black tips",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,lagomorph,
7,440900,7,Mountain hare,Lepus timidus,Lagomorpha ,Leporiadae,"Grey-brown coat in summer, white coat in winter, black-tipped ears, shorter ears than other hares",0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,lagomorph,
8,440898,8,Granada hare,Lepus granatensis,Lagomorpha ,Leporiadae,"Brown or grey-brown back and a paler underbelly, black-tipped ears and black upper tail",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,lagomorph,"Juan Lacruz [<a href=""https://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>], <a href=""https://commons.wikimedia.org/wiki/File:Liebre_LaCa%C3%B1ada_2012-05-26.jpg"">via Wikimedia Commons</a>"
9,440922,9,Red squirrel,Sciurus vulgaris ,Rodentia,Sciuridae,"Red-brown coat and pale underbelly with a bushy tail, large ear tufts",1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,Sciuromorph,
10,440916,10,Barbary ground squirrel,Atlantoxerus getulus,Rodentia,Sciuridae,"Grey-brown or red-brown back and pale grey underbelly, white stripe running along each side and sometimes another along the spine",0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,Sciuromorph,
11,440925,11,Spotted souslik,Spermophilus suslicus ,Rodentia,Sciuridae,"Relatively small with dark-brown fur, white spots on its back and a short, thin tail",0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,Sciuromorph,"Esther Westerveld from Haarlemmermeer, Nederland [<a href=""https://creativecommons.org/licenses/by/2.0"">CC BY 2.0</a>], <a href=""https://commons.wikimedia.org/wiki/File:Spermophilus_suslicus_Varna_Bulgaria_1.jpg"">via Wikimedia Commons</a>"
12,440919,12,Alpine marmot,Marmota marmota ,Rodentia,Sciuridae,"Brown coat with orange markings on the back and a beige to orange underbelly, white band between muzzle and eyes, small ears, short legs and a bushy brown tail with a black tip",0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,Sciuromorph,
13,440908,13,European beaver,Castor fiber ,Rodentia,Castoridae,"Chestnut-brown to black-brown coat, thickset with a flattened head, small eyes and ears and a flattened, scaly tail ",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,rodent,
14,440912,14,Coypu,Myocastor coypus ,Rodentia,Myocastoridae,"Coarse, dark brown outer fur with soft dense grey under fur, distinguished by a white patch on the muzzle, webbed hind feet, and large, bright orange-yellow incisors",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,rodent,
15,440843,19,Raccoon dog,Nyctereutes procyonoides ,Carnivora ,Canidae,"Dirty, earth-brown, or brown-grey fur with black guard hairs in winter, and brighter and reddish-straw fur in summer; yellowish-brown abdomen, dark brown or blackish chest, with long, whisker-like hairs on the cheeks.",1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Carnivorous,
16,440875,15,Brown bear,Ursus arctos ,Carnivora ,Ursidae,"Often not fully brown, have long, thick fur, with a moderately long mane at the back of the neck",1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,Carnivorous,
